Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-16681900011,01/02/19,5286,Sauce,"108, College",Iowa City,52240,,52,JOHNSON,1052100,Imported Brandies,420,MOET HENNESSY USA,48099,Hennessy VS,24,200,6.24,9.36,24,224.64,4.8,1.26
INV-16681900027,01/02/19,5286,Sauce,"108, College",Iowa City,52240,,52,JOHNSON,1022100,Mixto Tequila,395,PROXIMO,89191,Jose Cuervo Especial Reposado Mini,12,500,11.5,17.25,12,207,6,1.58
INV-16681900018,01/02/19,5286,Sauce,"108, College",Iowa City,52240,,52,JOHNSON,1012200,Scotch Whiskies,55,SAZERAC NORTH AMERICA,8824,Lauder's,24,375,3.21,4.82,24,115.68,9,2.37
INV-16685400036,01/02/19,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001,,31,DUBUQUE,1031100,American Vodkas,297,Laird & Company,35917,Five O'Clock Vodka,12,1000,4.17,6.26,12,75.12,12,3.17
INV-16690300035,01/02/19,4449,Kum & Go #121 / Urbandale,12041 Douglas Pkwy,Urbandale,50322,,77,POLK,1031100,American Vodkas,434,LUXCO INC,36304,Hawkeye Vodka,24,375,1.86,2.79,24,66.96,9,2.37
INV-16685400064,01/02/19,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001,,31,DUBUQUE,1071100,Cocktails /RTD,65,Jim Beam Brands,63355,Skinnygirl Margarita,12,750,6.29,9.44,6,56.64,4.5,1.18
INV-16685400008,01/02/19,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001,,31,DUBUQUE,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11297,Crown Royal,12,1000,18.89,28.34,24,680.16,24,6.34
INV-16685400039,01/02/19,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001,,31,DUBUQUE,1031100,American Vodkas,434,LUXCO INC,36307,Hawkeye Vodka,12,1000,4.05,6.08,36,218.88,36,9.51
INV-16693100041,01/02/19,5151,IDA Liquor,"500, Hwy 175",Ida Grove,51445,,47,IDA,1012100,Canadian Whiskies,65,Jim Beam Brands,15248,Windsor Canadian PET,6,1750,9.5,14.25,6,85.5,10.5,2.77
INV-16692900004,01/02/19,4116,Lake View Foods,223 Main St,Lake View,51450,,81,SAC,1062200,White Rum,35,BACARDI USA INC,43126,Bacardi Superior,12,750,8.26,12.39,12,148.68,9,2.37
INV-16693100026,01/02/19,5151,IDA Liquor,"500, Hwy 175",Ida Grove,51445,,47,IDA,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64866,Fireball Cinnamon Whiskey,12,750,9,13.5,12,162,9,2.37
INV-16693000015,01/02/19,5004,Ida Grove Food Pride,200 Susan Lawrence Dr,Ida Grove,51445,,47,IDA,1081200,Cream Liqueurs,305,Mhw LTD,73055,Rumchata,12,750,12.5,18.75,12,225,9,2.37
INV-16693100021,01/02/19,5151,IDA Liquor,"500, Hwy 175",Ida Grove,51445,,47,IDA,1031100,American Vodkas,434,LUXCO INC,36308,Hawkeye Vodka,6,1750,7.17,10.76,6,64.56,10.5,2.77
INV-16702300030,01/02/19,3705,Liquor Locker,507 1st Ave #100,Rock Rapids,51246,,60,LYON,1031100,American Vodkas,260,DIAGEO AMERICAS,37997,Smirnoff 80prf,12,1000,9.25,13.88,3,41.64,3,0.79
INV-16702300028,01/02/19,3705,Liquor Locker,507 1st Ave #100,Rock Rapids,51246,,60,LYON,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,86887,Southern Comfort,12,1000,12.97,19.46,3,58.38,3,0.79
INV-16702300010,01/02/19,3705,Liquor Locker,507 1st Ave #100,Rock Rapids,51246,,60,LYON,1081200,Cream Liqueurs,260,DIAGEO AMERICAS,68034,Baileys Original Irish Cream,12,375,7,10.5,2,21,0.75,0.19
